Feature,Coefficient,P_Value
const,66.29581734284228,0.0
Infant_Mortality,-0.1430922387768337,0.0
Maternal_Mortality,-0.003801455166774534,6.760350465173351e-271
GDP_Per_Capita,0.00010443045190301329,0.0
Education_Index,0.04909609490454625,6.355767069537719e-97
Infrastructure_Index,0.07066132259147209,1.7439256454658933e-289
Healthcare_Resource_Index,-0.2291023108594242,3.308970389887653e-50
